location,state,ph_min,ph_max,ph_mean,do_min,do_max,do_mean,bod_min,bod_max,bod_mean,fc_min,fc_max,fc_mean,tc_min,tc_max,tc_mean
AT PATNA D/S (GANGA BRIDGE),BIHAR,8.0,8.6,8.2,7.9,8.7,8.4,2.7,3.0,2.9,3000.0,9000.0,5667.0,9000.0,24000.0,18778.0
"GANGA AT PUNPUN, PATNA",BIHAR,7.1,8.7,7.8,6.9,8.0,7.3,2.6,3.0,2.7,1100.0,3000.0,1589.0,2200.0,9000.0,3667.0
GANGA AT FATUHA,BIHAR,8.1,8.7,8.3,8.0,8.8,8.4,2.7,2.9,2.8,1400.0,5000.0,2675.0,3000.0,16000.0,7313.0
GANGA AT MOKAMA (U/S),BIHAR,7.8,8.2,8.0,7.1,8.7,8.0,2.6,2.8,2.7,1100.0,5000.0,2575.0,2200.0,16000.0,6588.0
GANGA AT MOKAMA (D/S),BIHAR,7.6,8.2,8.0,6.8,8.8,7.9,2.9,3.0,3.0,2100.0,9000.0,7638.0,8000.0,24000.0,22000.0
GANGA AT MUNGER,BIHAR,7.7,8.1,8.0,6.2,8.6,7.8,2.6,2.9,2.7,800.0,5000.0,2178.0,2200.0,9000.0,4967.0
"GANGA AT SULTANGANJ, BHAGALPUR",BIHAR,7.6,8.1,7.9,6.4,8.7,7.8,2.7,2.8,2.7,1300.0,3000.0,1943.0,2200.0,5000.0,3371.0
GANGA AT BHAGALPUR,BIHAR,7.7,8.1,7.9,6.2,8.6,7.7,2.6,2.9,2.8,1300.0,9000.0,3686.0,2200.0,90000.0,22743.0
GANGA AT KAHALGAON,BIHAR,7.7,8.2,8.0,6.4,8.7,7.9,2.7,2.9,2.8,1100.0,9000.0,5611.0,2800.0,24000.0,11422.0
GANGA AT BAHARAMPORE,WEST BENGAL,7.2,8.4,7.8,6.9,11.2,8.3,1.0,3.9,2.2,17000.0,240000.0,105364.0,26000.0,300000.0,140545.0
"NABADIP ON GANGA,GHOSHPARA NEAR MONIPURGHAT",WEST BENGAL,7.1,8.3,7.8,6.7,10.6,8.5,1.0,3.7,2.1,1300.0,50000.0,13573.0,1700.0,90000.0,21973.0
"TRIBENI ON GANGA, NR BURNING GHAT",WEST BENGAL,7.0,8.5,7.9,4.8,13.4,8.2,0.8,2.9,1.7,700.0,11000.0,3064.0,900.0,14000.0,4755.0
GANGA AT PALTA,WEST BENGAL,7.2,8.2,7.8,5.7,11.0,7.7,1.3,2.8,2.1,23000.0,220000.0,84667.0,50000.0,280000.0,128333.0
GANGA AT SERAMPORE,WEST BENGAL,7.1,8.4,7.9,5.1,13.2,7.8,0.9,3.2,1.9,14000.0,170000.0,66667.0,22000.0,220000.0,97917.0
GANGA AT DAKSHINESHWAR,WEST BENGAL,7.3,8.3,7.8,5.2,13.9,7.8,3.0,5.0,4.0,17000.0,1100000.0,270333.0,22000.0,2500000.0,653083.0
GANGA AT HOWRAH-SHIVPUR,WEST BENGAL,7.5,8.2,7.8,4.8,12.8,7.3,2.4,8.2,4.0,33000.0,650000.0,130750.0,34000.0,850000.0,223667.0
GANGA AT GARDEN REACH,WEST BENGAL,7.5,8.3,7.8,4.4,12.2,6.8,1.9,5.6,4.1,8000.0,400000.0,164833.0,11000.0,650000.0,247167.0
GANGA AT ULUBERIA,WEST BENGAL,7.5,8.4,7.8,4.3,11.0,5.9,0.3,5.9,2.8,14000.0,140000.0,32500.0,17000.0,280000.0,68833.0
GANGA AT DIAMOND HARBOUR,WEST BENGAL,7.5,8.5,7.9,5.4,8.5,7.1,1.1,5.1,2.3,8000.0,80000.0,20333.0,11000.0,110000.0,30667.0
